col0,col1,col2
2989.2000000000003,0.0,0.0
2989.4,-4.043841169310437e-15,6.675854704280102e-16
2989.6,-3.5376864672832624e-15,6.877107614965355e-16
2989.7999999999997,-2.490079082734459e-15,6.727664533290095e-16
2989.9999999999995,-3.047907029708882e-15,6.733660997161064e-16
2990.1999999999994,-3.912838630171613e-15,6.51703337969196e-16
2990.399999999999,-2.5506861959346356e-15,6.566587983479889e-16
2990.599999999999,-2.3611265750862276e-15,6.265507475400388e-16
2990.799999999999,-1.889253414016803e-15,6.248206298057127e-16
2990.9999999999986,-2.176245328963742e-15,6.050123937572564e-16
2991.1999999999985,-1.901245071209319e-15,6.028915291364501e-16
2991.3999999999983,-2.6167825061494936e-15,5.724050134197549e-16
2991.599999999998,-3.515469851867966e-15,5.67592966306844e-16
2991.799999999998,-2.4758711638354523e-15,5.913547815761689e-16
2991.9999999999977,-1.6615928747723573e-15,5.835318499731242e-16
2992.1999999999975,-2.803858838154789e-15,5.542730555739149e-16
2992.3999999999974,-2.834750553257627e-15,5.536123169354974e-16
2992.599999999997,-1.634634145401858e-15,5.63917266832234e-16
2992.799999999997,-1.7922683533144225e-15,5.472974216159205e-16
2992.999999999997,-1.2600194249185403e-15,5.441370887501555e-16
2993.1999999999966,-7.861183081547113e-16,5.253557213315675e-16
2993.3999999999965,-1.4952056401411036e-15,5.114454815739614e-16
2993.5999999999963,-3.751457254379514e-15,4.695352971954435e-16
2993.799999999996,-1.8657740842353875e-15,4.908190116984575e-16
2993.999999999996,-1.1549559992399586e-15,4.814284868078411e-16
2994.1999999999957,-1.0851690605947952e-15,4.9411508159402e-16
2994.3999999999955,-2.119414288642425e-15,4.610683029151303e-16
2994.5999999999954,-5.97668194588088e-16,4.762383983026588e-16
2994.799999999995,-1.6276314063895514e-15,4.518343203010783e-16
2994.999999999995,-4.574889534382704e-16,4.861119437314469e-16
2995.199999999995,-3.222747547274615e-16,4.442513637199026e-16
2995.3999999999946,-7.255657756400735e-16,4.3101168288894626e-16
2995.5999999999945,-8.821464863244905e-16,4.083406342974481e-16
2995.7999999999943,-6.182459600691248e-16,4.064390188610826e-16
2995.999999999994,-6.155826237851613e-16,4.0895285382985575e-16
